Von;Nach;Dauer;Anzahl;Dauer
FWB;FWS;00:01:42.1466667;871;102
DRB B;DRBT;00:01:42.1533333;4873;102
LZA;LBZG;00:01:42.1766667;3416;102
WEV;WLKL;00:01:42.1766667;5975;102
FSUEZ;FSUE;00:01:42.1800000;6222;102
FOBD;FNIE;00:01:42.2000000;1593;102
FWF;FMF;00:01:42.2100000;9087;102
MAWB;MWS;00:01:42.2233333;422;102
FO  G;FO;00:01:42.2266667;118;102
NSB;NRCK;00:01:42.2300000;1228;102
RIN;RRST;00:01:42.2300000;3587;102
BDW;BGBSO;00:01:42.2333333;1390;102
LEO;LLPDH;00:01:42.2400000;25;102
SSE;SSMT;00:01:42.2633333;3674;102
FFMK;FBMR;00:01:42.2733333;1516;102
TAEW;TAE;00:01:42.2866667;647;102
FWED;FDCH;00:01:42.3033333;2208;102
MDA;MKF;00:01:42.3066667;6114;102
TSV;TSOS;00:01:42.3133333;11365;102
KHES;KHEN;00:01:42.4000000;4781;102
RBBW;RRZB;00:01:42.4100000;1960;102
FMF;FWF;00:01:42.4133333;9043;102
EEBE;EEAL;00:01:42.4366667;2180;102
FGEL;FHME;00:01:42.4366667;7169;102
NNB;NES;00:01:42.4566667;3269;102
RBR;RBRP;00:01:42.4833333;1973;102
MAHB;MHMR;00:01:42.4900000;2884;102
WSGR;WSS;00:01:42.5366667;2204;102
KDOB;KSTU;00:01:42.5566667;3863;102
BGK S;BGK W;00:01:42.5633333;85;102
SKOW;KKOM;00:01:42.5633333;2935;102
FBBM;FGHM;00:01:42.5733333;6240;102
KODR;KODE;00:01:42.5766667;2709;102
RDZ;RGDN;00:01:42.5933333;4350;102
KRBL;KRBA;00:01:42.6133333;3187;102
LOH;LGP;00:01:42.6133333;1194;102
EGRN;EVWG;00:01:42.6466667;1171;102
FWED;FSPO;00:01:42.6566667;2202;102
SDLS;SDL;00:01:42.6633333;3761;102
MHEM;MFK;00:01:42.6666667;15;102
TRKN;TRSA;00:01:42.6966667;630;102
SHAM;SHAU;00:01:42.7033333;1153;102
RBR;RBRZ;00:01:42.7166667;3939;102
EHE;EHM;00:01:42.7233333;3266;102
RLCH;RHCH;00:01:42.7366667;4230;102
FKBS;FKOB;00:01:42.7733333;962;102
MLEU;MOP W;00:01:42.8000000;5873;102
BFKS;BSFD;00:01:42.8266667;5716;102
TS;TS  P;00:01:42.8300000;10118;102
NAH G;NHOE;00:01:42.8333333;3611;102
RBRH;RETL;00:01:42.8433333;1710;102
FF  H;FMLA;00:01:42.8566667;140;102
LER;LRN;00:01:42.8566667;14;102
MHRK;MPUL;00:01:42.8633333;4634;102
KSLA;KROS;00:01:42.8966667;3917;102
SKB;SBN;00:01:42.9466667;113;102
ARS;ARSW;00:01:42.9533333;2589;102
MFHB;MFHT;00:01:42.9900000;10044;102
THDV;THD;00:01:43.0133333;2111;103
RRZB;RBBW;00:01:43.0500000;1948;103
DWD;DGN;00:01:43.0600000;51;103
LGND;LSBF;00:01:43.1566667;2576;103
MART;MRO;00:01:43.1566667;1337;103
EDFW;EDDPH;00:01:43.1700000;3582;103
FBAU;FZW;00:01:43.1833333;3295;103
FTM;FFH;00:01:43.2100000;4958;103
KLKH;KLMH;00:01:43.2233333;109;103
LSBF;LSB;00:01:43.2500000;2576;103
NFDB;NFWS;00:01:43.3066667;2132;103
KD;KDW;00:01:43.3200000;11598;103
MHMR;MAHB;00:01:43.3200000;2929;103
KNAMN;KBRO;00:01:43.3300000;93;103
LGL;LKTU;00:01:43.3333333;761;103
TWL;RKBA;00:01:43.3400000;2073;103
FFGA;FMST;00:01:43.3866667;32;103
NREZ;NHIS;00:01:43.3933333;3043;103
DRK;DD;00:01:43.4500000;5597;103
DZSW;DNSH;00:01:43.4600000;5586;103
FFLU;FSWS;00:01:43.4633333;6297;103
MAOZ;MMAL;00:01:43.5033333;6292;103
SOG;SWAS;00:01:43.5166667;1346;103
KLS;KOPLM;00:01:43.5500000;2094;103
WTIW;WTI;00:01:43.6133333;1308;103
KBRE;KBRO;00:01:43.6233333;3176;103
BFAH;BHSL;00:01:43.6700000;461;103
TSZ E;TSZ;00:01:43.6800000;6260;103
LLW;LSVS;00:01:43.7266667;3523;103
TSOS;TSV;00:01:43.7633333;11378;103
RSM;RSMM;00:01:43.7733333;2112;103
BTL;BGSBS;00:01:43.8266667;5987;103
FBL;FGRO;00:01:43.8300000;6271;103
TMW;TOET;00:01:43.8466667;596;103
MEIC;MPM;00:01:43.8500000;6119;103
KRBA;KRBL;00:01:43.9400000;3191;103
DNZ;DCW B;00:01:44.0033333;3466;104
THUB;TBO;00:01:44.0166667;5917;104
AKSS;AKE;00:01:44.0233333;2584;104
FHAH;FKHM;00:01:44.0333333;3576;104
MMR;MSAF;00:01:44.0900000;3072;104
KMUH;KRH;00:01:44.1433333;2845;104
DHD;DHDS;00:01:44.1533333;5574;104
NDHF;NN;00:01:44.1566667;10685;104
RSL;RKBA;00:01:44.1766667;34;104
KEIL;KAREG;00:01:44.1833333;5920;104
TBER;THMA;00:01:44.1933333;2063;104
KSEC;XAWL;00:01:44.2000000;43;104
RTG;RBGN;00:01:44.2033333;4678;104
FZBR;FZB;00:01:44.2166667;1174;104
WMCH;WBT;00:01:44.2400000;3203;104
AA  G;AAR;00:01:44.2433333;4167;104
KKDZ;KKA;00:01:44.2500000;11;104
THCV;THC;00:01:44.3700000;2061;104
KKL;KKV;00:01:44.4566667;5139;104
MNF;MNFO;00:01:44.4600000;2967;104
RMW G;RMNS;00:01:44.4933333;83;104
KKE K;KKAS;00:01:44.5000000;12;104
LF  U;LF  F;00:01:44.5233333;1057;104
KBEG;KDRA;00:01:44.5433333;8084;104
TGRN;TWIT;00:01:44.5633333;124;104
KWBA;KWO;00:01:44.5666667;7051;104
FLGS;FKGS;00:01:44.5700000;4286;104
BJF;BPIL;00:01:44.5866667;3081;104
EEAL;EEBE;00:01:44.5900000;2282;104
LGE;LMAC;00:01:44.6033333;5401;104
FHRB;FBUN;00:01:44.6366667;1309;104
KLOV;KKERG;00:01:44.6366667;4724;104
BAG W;BAG O;00:01:44.6566667;1662;104
LAH;LZS;00:01:44.6600000;4775;104
SKT;XATP;00:01:44.6666667;30;104
LSB;LSBF;00:01:44.6833333;2595;104
NVIB;NVI;00:01:44.6833333;2013;104
FMOH;FMOW;00:01:44.6900000;2181;104
FBGG;FBGN;00:01:44.7000000;1449;104
KHAN;KGUI;00:01:44.7033333;2064;104
TET S;TET;00:01:44.7600000;2221;104
ADEV;ALBGG;00:01:44.7833333;3275;104
TFOS;TF  R;00:01:44.7833333;2487;104
RAUG;RSG N;00:01:44.8300000;3722;104
RRIH;RSTB;00:01:44.8433333;19;104
TSON;TBER;00:01:44.8533333;2063;104
NNST;NUA;00:01:44.8833333;4348;104
NBT;NEO;00:01:44.9100000;5150;104
KNRC;KDHA;00:01:44.9533333;6708;104
FSTM;FEF;00:01:44.9600000;104;104
SSD;SRE;00:01:44.9666667;5610;104
LGD;LGW;00:01:44.9900000;5575;104
DRBK;DRBT;00:01:45.0133333;4763;105
TT;TTD;00:01:45.0166667;648;105
KDHA;KNRC;00:01:45.0233333;6887;105
AWN F;AOW;00:01:45.0400000;6016;105
LNW H;LLMO;00:01:45.1366667;5200;105
APD;AP;00:01:45.1666667;5164;105
WBT;WMCH;00:01:45.1666667;3208;105
FKBW;FMZ A;00:01:45.1766667;18;105
SWR E;SGN;00:01:45.1900000;2849;105
FKGS;FLGS;00:01:45.1966667;4238;105
TSIG;TSIE;00:01:45.2000000;134;105
NRWA;NRWU;00:01:45.2066667;838;105
MP;MPGO;00:01:45.2700000;1166;105
FGK;FKLM;00:01:45.2866667;4564;105
KMUH;KKRU;00:01:45.3000000;21;105
RUEM;RUEB;00:01:45.3033333;1964;105
FMLA;FFTGF;00:01:45.3066667;2686;105
NWKH;NLHM;00:01:45.3100000;3306;105
FIL;FGAL;00:01:45.3133333;1456;105
KRIC;KAW G;00:01:45.3400000;6326;105
KRY G;KWIC;00:01:45.3633333;3009;105
HGGLO;HGAA;00:01:45.4100000;2459;105
UE  L;UVI;00:01:45.4400000;1865;105
RSOH;RGES;00:01:45.4500000;254;105
FMET;FAHM;00:01:45.4733333;4531;105
NRSL;NBI;00:01:45.4733333;1834;105
TREB;TWAN;00:01:45.4933333;4425;105
NMSN;NOBS;00:01:45.5133333;1245;105
RGEM;RGE;00:01:45.5200000;254;105
BEGN;BEG;00:01:45.5500000;399;105
DRBT;DRB B;00:01:45.5700000;4762;105
FFOR;FSP;00:01:45.5766667;2199;105
MWDF;MNOD;00:01:45.6133333;3891;105
LBM;LNS;00:01:45.6233333;3176;105
HBAR;HSYK;00:01:45.6400000;2827;105
TLSM;TSX;00:01:45.6500000;3083;105
RBGG;RHE;00:01:45.6600000;4494;105
FMST;FLS;00:01:45.6633333;5549;105
UJZ;UJS;00:01:45.6666667;1273;105
MAHI;MAOB;00:01:45.6933333;5052;105
WDF;WPF;00:01:45.7000000;3126;105
NS;NSMT;00:01:45.7033333;2997;105
SWR K;SMER;00:01:45.7166667;1644;105
NEO;NBT;00:01:45.7266667;5197;105
LSBF;LGND;00:01:45.7400000;2595;105
FHAH;FRIH;00:01:45.8033333;3515;105
RRI;RHZ;00:01:45.8666667;4250;105
KKMN;KKM;00:01:45.8766667;14201;105
TELI;TWR;00:01:45.8900000;549;105
LMAC;LGE;00:01:45.8966667;5323;105
SDLK;SBE;00:01:45.9166667;3699;105
TTUG;TTU;00:01:45.9166667;624;105
KD;KDOA;00:01:45.9266667;1626;105
THC;THCV;00:01:45.9300000;2075;105
RFTS;RFT;00:01:45.9366667;6891;105
FSWF;FSP;00:01:45.9533333;171;105
UKA;USCH;00:01:45.9933333;733;105
EDRA;EDHU;00:01:46.0000000;12;106
MMTL;MSNO;00:01:46.0000000;685;106
RNO;RBKR;00:01:46.0266667;4485;106
FBOD;FNAC;00:01:46.0733333;4650;106
KAW P;KASZ;00:01:46.0766667;6439;106
LL  P;LL;00:01:46.0800000;1245;106
KMAW;KQ;00:01:46.1066667;2003;106
SLDN;SLD;00:01:46.1466667;3908;106
UWIR;UBEU;00:01:46.1633333;1411;106
KKGU;KKDT;00:01:46.2100000;1753;106
AGHI;ALS;00:01:46.2200000;876;106
FESS;FES;00:01:46.2333333;6293;106
BWDG;BMOAO;00:01:46.2433333;2048;106
KHIS;KHI;00:01:46.2500000;3867;106
KKSA;KKBT;00:01:46.2633333;80;106
MFE;MFAS;00:01:46.2933333;6702;106
EE;EE  U;00:01:46.2966667;5608;106
FKRO;FKRS;00:01:46.2966667;3142;106
DCB;DSTT;00:01:46.3133333;1349;106
TALT;TALO;00:01:46.3133333;648;106
FSLN;FNH;00:01:46.3233333;3105;106
DNUN;DGLA;00:01:46.3466667;2525;106
FSP;FNI S;00:01:46.3600000;6285;106
FMB N;FMB P;00:01:46.3900000;8323;106
EGST;EMSTG;00:01:46.4166667;3963;106
TS  P;TSN;00:01:46.4266667;12261;106
WCO;WCOK;00:01:46.4566667;1923;106
KKHR;KKN P;00:01:46.4700000;8227;106
MBN;MROT;00:01:46.5000000;1284;106
RLB W;RLB G;00:01:46.5000000;196;106
LHG M;LZBR;00:01:46.5133333;2501;106
LLAN;LE  V;00:01:46.5333333;2552;106
UEIS;UHL;00:01:46.5500000;1855;106
EE;EE  O;00:01:46.5766667;17203;106
NBUT;NOB;00:01:46.6200000;4724;106
HHAR;HRWA;00:01:46.6266667;275;106
KARL;KKRW;00:01:46.6533333;1068;106
NNRH;NNMO;00:01:46.6700000;3894;106
RSFL;RKPW;00:01:46.6733333;1030;106
WTI;WTIW;00:01:46.6800000;1308;106
RWI;RMZ;00:01:46.6933333;2179;106
TEZ;TNF;00:01:46.7433333;2337;106
RWY;RGRZ;00:01:46.7533333;2913;106
FFZH;FKRI;00:01:46.7566667;5744;106
DHGW;DFH;00:01:46.7966667;1983;106
RHL;RW;00:01:46.8066667;3745;106
KDGE;KFO;00:01:46.8433333;1539;106
AE  F;ALAA;00:01:46.8966667;6073;106
LLN;LLES;00:01:46.9200000;50;106
BFIH;BWSU;00:01:46.9266667;918;106
TMAG;TMIN;00:01:46.9533333;2839;106
FSTS;FSZN;00:01:46.9933333;3110;106
XFCSG;XFVAR;00:01:46.9933333;569;106
HKLG;HL  G;00:01:47.0100000;667;107
WSGN;WSMI;00:01:47.0133333;2207;107
KBRC;KLD;00:01:47.0200000;3035;107
TBLH;TRH;00:01:47.0233333;1138;107
FDG;FGER;00:01:47.0400000;25;107
RBKR;RNO;00:01:47.0400000;4500;107
HEIV;HHGH;00:01:47.0433333;3871;107
FBIK;FBIZ;00:01:47.0633333;1037;107
RMKI;REKG;00:01:47.0633333;3611;107
AP;APD;00:01:47.0733333;5160;107
FKMP;FFI;00:01:47.0800000;864;107
BSTAB;BSTA;00:01:47.0933333;517;107
TFL;TETD;00:01:47.0933333;5740;107
HDI;HSOR;00:01:47.1066667;3903;107
RHSM;RGOS;00:01:47.1200000;595;107
KALI;KBD;00:01:47.1433333;3191;107
KNL N;KNL;00:01:47.1466667;2963;107
TEHA;THUB;00:01:47.1666667;577;107
BWSU;BFIH;00:01:47.2100000;885;107
FSZN;FSTS;00:01:47.2233333;3102;107
LSD;LSDW;00:01:47.2300000;3177;107
KBRB;KOL G;00:01:47.2433333;862;107
TERS;TBIL;00:01:47.2466667;167;107
EESOB;EEUE;00:01:47.2500000;3324;107
DSTT;DKE;00:01:47.2533333;1349;107
BJUF;BWD;00:01:47.2566667;4963;107
DCW B;DWEW;00:01:47.2566667;4950;107
TBER;TSON;00:01:47.2833333;2072;107
TNO;TH  K;00:01:47.2966667;3172;107
LBW H;LBW;00:01:47.3166667;44;107
EVDU;EFFD;00:01:47.3266667;1692;107
MMCH;MFAS;00:01:47.3366667;6783;107
RRIM;RLFB;00:01:47.3433333;1900;107
TS;TS  R;00:01:47.3533333;10849;107
SHFD;SNAB;00:01:47.3600000;1443;107
FFRI;FSG;00:01:47.3733333;3254;107
FTWS;FKWB;00:01:47.3900000;995;107
FBSO;FSZN;00:01:47.3966667;3102;107
XAPL;XAU;00:01:47.3966667;242;107
KKS;KKBT;00:01:47.4000000;50;107
DHDG;DHDS;00:01:47.4033333;5564;107
MFU;MTU;00:01:47.4133333;5074;107
LTG E;LTG;00:01:47.4233333;728;107
TDI;TSWF;00:01:47.4266667;4551;107
LWN;LZO;00:01:47.4333333;1458;107
KKSH;KKMN;00:01:47.4433333;3951;107
FOTS;FOWH;00:01:47.4466667;3863;107
RHZ;RRI;00:01:47.4466667;4250;107
EHOR;EOD;00:01:47.4533333;11;107
MMAL;MAOZ;00:01:47.4766667;6094;107
NKMU;NKUE;00:01:47.4833333;1728;107
TS  W;TSN;00:01:47.4833333;205;107
LL;LL  V;00:01:47.4866667;4296;107
UHL;UEIS;00:01:47.4933333;1822;107
FNRO;FDU;00:01:47.5300000;3855;107
SDE;SDEO;00:01:47.5300000;1277;107
TOAI;TLF;00:01:47.5366667;5726;107
KBM;XABX;00:01:47.5400000;15;107
LSVS;LLW;00:01:47.5533333;3182;107
KGBU;KDEK;00:01:47.5733333;2798;107
BLO G;BLO A;00:01:47.5766667;227;107
BKAR;BAKO;00:01:47.5933333;930;107
DFH;DHGW;00:01:47.5933333;1986;107
BSTA;BSTAB;00:01:47.5966667;510;107
FB;FBU;00:01:47.6033333;265;107
FGL;FGB;00:01:47.6033333;4220;107
MTU;MFU;00:01:47.6100000;5093;107
FKRS;FKRO;00:01:47.6200000;3141;107
TRB;TWSN;00:01:47.6333333;1946;107
STR;STRS;00:01:47.6366667;4152;107
FOWH;FOTS;00:01:47.6400000;3959;107
FLGF;FBUSS;00:01:47.6566667;5102;107
MGKF;MBR;00:01:47.6600000;4528;107
MMCH;MANL;00:01:47.6633333;6464;107
UGO O;UGOS;00:01:47.6666667;1527;107
MNFN;MNFO;00:01:47.6800000;1290;107
NFUA;NFBB;00:01:47.6933333;6957;107
FOWH;FOBI;00:01:47.6966667;3864;107
LF  S;LF  U;00:01:47.7100000;83;107
KDEK;KGBU;00:01:47.7300000;2924;107
FMK;FWO B;00:01:47.7533333;6129;107
EBP;EDKL;00:01:47.7566667;3843;107
LAG O;LHNZ;00:01:47.7600000;2745;107
WWM;WWMW;00:01:47.7700000;6030;107
FOUS;FOU;00:01:47.7900000;4720;107
DKE;DCT;00:01:47.8133333;1350;107
MAMS;MAGM;00:01:47.8166667;1516;107
BLO;BBIKW;00:01:47.8366667;2289;107
TBTB;TGC;00:01:47.8366667;6495;107
TSSM;TSNU;00:01:47.8366667;7899;107
MHSB;MWAE;00:01:47.8400000;4113;107
FBUSS;FLGF;00:01:47.8566667;5045;107
KDR;KDRM;00:01:47.8633333;3717;107
EESD;EESA;00:01:47.8866667;3718;107
LHNZ;LAG O;00:01:47.8933333;2761;107
AEBR;AFD;00:01:47.9033333;1666;107
FFW;FFW A;00:01:47.9200000;8134;107
NZI;NZIK;00:01:47.9233333;2150;107
FEGB;FEZS;00:01:47.9333333;3026;107
HWOL;HWOH;00:01:47.9433333;1306;107
EGBU;EGBN;00:01:47.9466667;1252;107
MPER;MGIF;00:01:47.9533333;4036;107
DMEA;DMT;00:01:47.9600000;3392;107
MHP;MMDN;00:01:47.9600000;4144;107
TMIN;TMAG;00:01:47.9600000;2839;107
LWO;LGPN;00:01:47.9633333;2389;107
NREK;NKG;00:01:47.9666667;3564;107
MP  R;MLO;00:01:47.9733333;6071;107
NN;NNSN;00:01:47.9733333;3566;107
ANRS;ANWS;00:01:48.0000000;6856;108
DBAC;DZWS;00:01:48.0000000;56;108
EBIN;EKLU;00:01:48.0000000;13;108
EDKK;EDKO;00:01:48.0000000;3545;108
HWEN;HWLI;00:01:48.0000000;1291;108
KKANS;KKA;00:01:48.0000000;33;108
LBSO;LBS;00:01:48.0000000;1255;108
LWAN;LTT;00:01:48.0000000;14;108
MBCN;MOBU;00:01:48.0000000;1887;108
SKU N;SKU B;00:01:48.0000000;72;108
XFAP;SPE;00:01:48.0000000;40;108
RLBN;RLBM;00:01:48.0200000;1189;108
DBPL;DPS;00:01:48.0300000;3615;108
FWS;FWB;00:01:48.0333333;891;108
FNL;FNDW;00:01:48.0433333;3457;108
LGP;LOH;00:01:48.0533333;1215;108
NWBF;NRTB;00:01:48.0533333;1195;108
NUS;NLS;00:01:48.0900000;1229;108
FMK;FKOS;00:01:48.1000000;6462;108
HBDS;HBDE;00:01:48.1000000;670;108
SDUW;SJF;00:01:48.1233333;2707;108
KWO;KWLP;00:01:48.1300000;2880;108
BBEL;BSE B;00:01:48.1333333;1565;108
UGL;UGFA;00:01:48.1900000;1202;108
RRST;RIN;00:01:48.2233333;3557;108
TWN;TROM;00:01:48.2300000;6501;108
TWAN;TREB;00:01:48.2366667;4374;108
KKANE;KKM A;00:01:48.2400000;25;108
FKR T;FKR;00:01:48.2466667;149;108
DCW;DRBZ;00:01:48.2600000;5294;108
THMA;TBER;00:01:48.2900000;2074;108
NOB;NBUT;00:01:48.3166667;4729;108
SNKE;SBX;00:01:48.3166667;2808;108
AOW;AWN F;00:01:48.3333333;6014;108
BLO;BLO G;00:01:48.3500000;1366;108
EWMN;EFRE;00:01:48.3533333;2480;108
RSG N;RAUG;00:01:48.3566667;3683;108
MRMU;MESH;00:01:48.3800000;3458;108
TMAN;TFLA;00:01:48.3833333;2268;108
UKL;UHR;00:01:48.3900000;1215;108
HLTA;HSR W;00:01:48.4000000;45;108
KKNA;KKW F;00:01:48.4000000;105;108
FHAS;FSIN;00:01:48.4066667;5427;108
FF;FFGA;00:01:48.4366667;4165;108
DF;DFS;00:01:48.4400000;1352;108
ALS;AGHI;00:01:48.4866667;764;108
SRE;SSD;00:01:48.4933333;5451;108
ARSW;ARS;00:01:48.5166667;2586;108
MAFE;MANE;00:01:48.5233333;3387;108
TE;TEME;00:01:48.5266667;6773;108
TSIE;TSIG;00:01:48.5433333;145;108
FKB;FEN;00:01:48.5700000;540;108
KKDB;KKH;00:01:48.5800000;4090;108
MGI;MFG;00:01:48.5800000;47;108
MA;MAHA;00:01:48.5833333;6125;108
RBUN;RBUO;00:01:48.6200000;1028;108
NFBB;NFUF;00:01:48.6333333;351;108
KK;KKDZB;00:01:48.6366667;18800;108
FFI;KOSS;00:01:48.6433333;864;108
FB  O;FFDF;00:01:48.7133333;1563;108
DABM;DAB;00:01:48.7466667;1143;108
XAKU;XAJT;00:01:48.7633333;258;108
SRI;SHMB;00:01:48.7866667;1276;108
TBS;XDHT;00:01:48.7933333;42;108
LGPN;LWO;00:01:48.8033333;2479;108
AWI;AASA;00:01:48.8100000;3270;108
MBGU;MJET;00:01:48.8166667;3869;108
NLHM;NWKH;00:01:48.8166667;3261;108
BBGN;BBSH;00:01:48.8766667;192;108
FHG;FSN;00:01:48.9466667;19;108
RRI;RORW;00:01:48.9500000;4250;108
TOEW;TBIF;00:01:48.9633333;549;108
MKUN;MGHN;00:01:48.9666667;4654;108
WSMI;WSGN;00:01:48.9866667;2205;108
FSUE;FSUEZ;00:01:49.0033333;6266;109
KDU;KDDP;00:01:49.0633333;7055;109
LW;LWET;00:01:49.0666667;1565;109
TS  N;TS  P;00:01:49.0866667;2807;109
ANR;AFIB;00:01:49.1066667;157;109
MP  W;MP;00:01:49.1100000;5882;109
NGM S;NGM;00:01:49.1366667;1132;109
NBI;NRSL;00:01:49.1733333;1790;109
NBEH;NRUE;00:01:49.1933333;5692;109
KWLP;KWO;00:01:49.2033333;2813;109
SHWP;SHW;00:01:49.2266667;1159;109
RN  O;RN;00:01:49.2366667;17;109
FHME;FGEL;00:01:49.2500000;7278;109
DPS;DTR;00:01:49.2600000;3616;109
KKRX;KHB;00:01:49.2733333;33;109
RNO;RSAL;00:01:49.2933333;4497;109
EE  O;EEST;00:01:49.2966667;10691;109
RLT;RAPK;00:01:49.3133333;534;109
RGRZ;RWY;00:01:49.3200000;2904;109
RSAL;RNO;00:01:49.3466667;4482;109
XAMU;XAU;00:01:49.3533333;238;109
RAPK;RLT;00:01:49.3733333;544;109
SBRB;SGRB;00:01:49.4133333;1676;109
FZW;FBAU;00:01:49.4333333;3427;109
RG;RBGN;00:01:49.4400000;4584;109
LLH;LTC;00:01:49.4433333;2870;109
KOL G;KBRB;00:01:49.4466667;883;109
TFLA;TMAN;00:01:49.4533333;2268;109
NIM;NHAG;00:01:49.4833333;1064;109
NOER;NEBH;00:01:49.4866667;581;109
DRA;DR;00:01:49.5200000;2521;109
FGOR;FOFF;00:01:49.5233333;2200;109
TWR;TELI;00:01:49.5266667;549;109
DPS;DBPL;00:01:49.5300000;4814;109
DNSH;DD;00:01:49.5366667;5586;109
KB  G;KB;00:01:49.5400000;6472;109
KLAB;KLA;00:01:49.5833333;4854;109
FSWR;FKOT;00:01:49.5933333;3513;109
DD;DNSH;00:01:49.6000000;5597;109
FBCH;FNDH;00:01:49.6200000;1549;109
RGE;RGEH;00:01:49.6366667;2038;109
FOBW;FURBS;00:01:49.6700000;1278;109
MA;MAMS;00:01:49.6800000;1517;109
DCSI;DGN;00:01:49.6833333;57;109
NZIK;NZI;00:01:49.7033333;2134;109
FSPO;FWED;00:01:49.7466667;2208;109
RRZ G;RBER;00:01:49.7566667;2556;109
FSWS;FFLU;00:01:49.7700000;6035;109
BCSO;BMZD;00:01:49.7766667;1441;109
TROM;TSTE;00:01:49.7966667;6500;109
BVLZ;BSHE;00:01:49.8100000;2572;109
EFRE;EWMN;00:01:49.8233333;2401;109
KKBH;KKM;00:01:49.8466667;8083;109
FGHM;FGRO;00:01:49.8500000;6238;109
TAEW;TALT;00:01:49.8533333;648;109
TS  P;TS  N;00:01:49.8533333;2829;109
WMOI;WPDF;00:01:49.8600000;71;109
MKO H;MEGL;00:01:49.9233333;4710;109
FHME;FNMI;00:01:49.9666667;7170;109
NBUR;NMUE;00:01:49.9933333;539;109
KW;KWU;00:01:49.9966667;3556;109
SMT;SBES;00:01:50.0466667;2775;110
NHED;NSMA;00:01:50.0566667;1271;110
KD;KEM;00:01:50.0600000;8451;110
RMCH;RN  O;00:01:50.0766667;2442;110
RORW;RRI;00:01:50.1266667;4251;110
TSNU;TSSM;00:01:50.1666667;7983;110
NDHF;NNOS;00:01:50.1866667;3779;110
KKN P;KKHR;00:01:50.1933333;7967;110
SRAM;SRAS;00:01:50.1933333;1203;110
UGFA;UGL;00:01:50.2166667;1148;110
RGN;RGNN;00:01:50.3133333;2150;110
FHAI;FWIR;00:01:50.3433333;7265;110
FLSR;FGOF;00:01:50.3800000;1038;110
SGD;SBA;00:01:50.3900000;113;110
UJS;UJZ;00:01:50.3900000;1271;110
RSAH;RBGH;00:01:50.3966667;698;110
SEE;SNF;00:01:50.4400000;2899;110
SNAB;SHFD;00:01:50.4433333;1641;110
FFBK;FFBS;00:01:50.4600000;8314;110
SNF;SEE;00:01:50.4633333;2880;110
SBA;SGD;00:01:50.5166667;112;110
MTS;MHFG;00:01:50.5233333;2137;110
NBWH;NOT;00:01:50.5466667;11;110
FBI;FHAE;00:01:50.5500000;3429;110
TSD;TGI;00:01:50.6166667;5499;110
KKRL;KBMW;00:01:50.6400000;25;110
NWK;NPEN;00:01:50.6633333;4315;110
KD;KRET;00:01:50.6766667;8861;110
FOS;FHWD;00:01:50.6900000;2099;110
NNST;NNSW;00:01:50.6933333;4315;110
RRIT;RANS;00:01:50.7033333;1158;110
FBRG;FAZ;00:01:50.7066667;2489;110
FDOH;FDG;00:01:50.7100000;9119;110
KDV;KD;00:01:50.7133333;8677;110
XAGZ;MXP;00:01:50.7200000;387;110
RN  O;RMCH;00:01:50.7333333;2458;110
MPD;MRS;00:01:50.7466667;5994;110
MGP;MGPH;00:01:50.7766667;299;110
FFT;FHAU;00:01:50.7966667;148;110
RWEL;RMH;00:01:50.7966667;2211;110
TSSM;TFE;00:01:50.8400000;7981;110
HL  G;HKLG;00:01:50.8466667;649;110
FATC;FOV;00:01:50.8566667;21;110
NCG;NC;00:01:50.8733333;2013;110
RGTF;RHA;00:01:50.8800000;1306;110
LGW;LMAG;00:01:50.9233333;5857;110
EHGGW;EHG;00:01:50.9266667;41;110
TWL;TKB;00:01:50.9266667;1981;110
LRW;LBM;00:01:50.9500000;3175;110
RBRR;RBR;00:01:50.9566667;5070;110
RFTS;RFLO;00:01:50.9733333;1783;110
KHOM;KHOL;00:01:51.0000000;18;111
MARS;MRO;00:01:51.0000000;568;111
RN;RNBO;00:01:51.0433333;6703;111
MLAW;MGAL;00:01:51.0500000;4186;111
BSFD;BFKS;00:01:51.0700000;5689;111
DHDS;DHDG;00:01:51.0766667;5574;111
EBWG;ENUT;00:01:51.0900000;1853;111
ABUW;ABUF;00:01:51.1233333;649;111
MKIH;MWBH;00:01:51.1433333;83;111
NMG;NOT;00:01:51.1733333;669;111
LLTW;LLN;00:01:51.1766667;2209;111
TNUF;TGT;00:01:51.2000000;5916;111
MGAL;MLAW;00:01:51.2033333;4147;111
EDO;EDOBZ;00:01:51.2100000;7046;111
LOL;LDD;00:01:51.2100000;2700;111
FWO;FKBWO;00:01:51.2733333;11;111
NF;NFUF;00:01:51.3066667;7075;111
HEGT;HKDF;00:01:51.3133333;2259;111
FGOR;FUCH;00:01:51.3433333;2206;111
RBTD;RGO;00:01:51.3433333;593;111
FMM;FBUD;00:01:51.3466667;1454;111
HEMK;HHTA;00:01:51.4366667;1608;111
KT;KFWH;00:01:51.4366667;2273;111
KMIE;KPL;00:01:51.4833333;2351;111
WKUM;WMTF;00:01:51.4833333;1374;111
FNRW;FBB;00:01:51.4866667;6005;111
XFHBN;XFVH;00:01:51.5066667;65;111
HSIK;HG;00:01:51.5466667;4027;111
LSDW;LSD;00:01:51.5533333;3611;111
FFTGF;FMLA;00:01:51.5566667;2631;111
KKE A;KKE B;00:01:51.6000000;10;111
